company_id,company_name,industry,funding_rounds,total_funding,last_funding_date,job_postings_30d,employee_growth_pct,hiring_roles,industry_growth_rate,regional_employment_trend,funding_per_employee,days_since_last_funding,growth_momentum,is_hot_lead
COMP_017879,Warren-Santos,SaaS,6.14921869,2058119.21,07-06-2020,19.56190471,36.53207996,Sales,12.2,5.6,547.3721303,1719,41162384.2,1
COMP_007265,Wilson-Green,SaaS,1.814720964,9486457.77,28-06-2021,13.73778039,-4.027596767,Sales,17.3,3.1,-32711.92334,1333,113837493.2,0
COMP_018597,Schneider-Hall,Healthcare,1.993855133,1989202.62,13-06-2020,8.450373686,4.768461464,Marketing,29.2,-1,3060.311723,1713,17902823.58,0
COMP_016819,Silva-Rodriguez,Fintech,2.982588608,2714234.14,09-11-2021,11.73706121,37.11410396,Operations,22.9,14.8,807.8077798,1199,32570809.68,1
COMP_016925,Phillips-Robinson,Healthcare,4.258827974,2158196.46,09-03-2023,5.300674339,25.31638034,Operations,16.1,13,793.4545809,714,12949178.76,0
COMP_011514,Morgan Ltd,Tech,2.639113258,1317749.44,13-04-2022,5.242017956,0.605349031,Operations,29,6.7,8235.934,1044,6588747.2,0
COMP_009161,Baker-Gray,Tech,1.9784989,3647158.35,24-08-2020,10.23237278,42.89667659,Sales,18.6,4.3,1018.759316,1641,40118741.85,1
COMP_006995,Gonzales-Palmer,Fintech,2.664657512,5598811.01,15-06-2022,12.71534002,21.54678718,Operations,17.1,6.4,2521.986941,981,55988110.1,0
COMP_014927,Thomas Inc,Retail,5.168821564,111315.26,24-08-2022,13.99436558,27.29471817,Engineering,9.3,4.7,37.86233333,911,1335783.12,0
COMP_022460,Fields PLC,Tech,4.090155074,3628277.79,25-07-2020,10.81096265,19.6206017,Operations,7.4,4,1769.891605,1671,43539333.48,1
COMP_003076,"Johnson, Everett and Grimes",SaaS,1.783585417,2193157.51,23-10-2024,11.67770982,32.35811829,Engineering,25,-3.9,572.6259817,120,28511047.63,0
COMP_024667,Roberts-Butler,Fintech,1.009134941,1948049.69,16-08-2024,15.50649009,27.04652734,Marketing,27,-4.6,763.9410549,188,31168795.04,0
COMP_004265,"Wang, Horn and Johnston",Fintech,2.582382259,561895.24,01-04-2020,13.28471872,4.496378476,Operations,28.7,-2.9,985.7811228,1786,7304638.12,0
COMP_008816,Dawson Group,Fintech,2.02721123,7037537.18,29-09-2020,9.872638047,41.6119059,Engineering,15.2,11.5,1876.676581,1605,70375371.8,0
COMP_008919,"Smith, Martin and Hunt",Healthcare,2.833901976,6681546.33,17-10-2022,11.376331,14.91627836,Sales,26.2,-0.4,4639.962729,857,73497009.63,0
COMP_012560,"Reed, Berry and Nelson",Tech,2.076798435,806198.13,11-09-2021,6.267709451,37.08664711,Sales,12.5,-2.4,202.0546692,1258,4837188.78,0
COMP_022201,"Howell, Crawford and Rhodes",Healthcare,1.058037783,7969173.1,10-03-2020,13.83471599,8.575915744,Engineering,15.4,-1.1,7589.688667,1808,95630077.2,0
COMP_009813,Green PLC,SaaS,3.24314737,606195.45,28-08-2021,16.0299867,26.96231023,Engineering,29.4,9.8,178.2927794,1272,9699127.2,0
COMP_024429,"Ramos, Ray and Hall",Fintech,5.015214849,7993083.8,29-06-2020,9.425325782,20.9462365,Operations,18.6,-4.2,3976.658607,1697,79930838,0
COMP_010480,Carter-Liu,Tech,4.655761701,4772595.73,27-12-2023,14.59491643,6.336476336,Operations,13.3,2.8,6721.965817,421,66816340.22,0
COMP_019940,Holmes-Murray,Tech,3.981310557,14460967.37,24-05-2022,6.586448193,36.60663762,Operations,11.1,14.6,4085.019031,1003,101226771.6,0
COMP_018413,"Diaz, Wilson and Coleman",Retail,1.959797809,2517444.67,05-01-2024,7.572387418,1.476472904,Operations,23.2,1.4,10945.41161,412,17622112.69,0
COMP_003756,Ferguson-Ballard,Retail,1.803928095,6657761.57,01-05-2024,7.834640529,3.21648152,Sales,7.5,-2.1,13870.3366,295,59919854.13,0
COMP_002223,Pace Ltd,Retail,2.6907669,3537459.66,17-06-2021,9.097299825,40.22894239,Operations,8.3,12.4,791.378,1344,35374596.6,0
COMP_015437,Tyler Inc,Fintech,1.493826019,5597379.67,03-05-2021,11.04699601,-4.169616297,Sales,10,-0.4,-20731.03581,1389,61571176.37,0
COMP_002483,Watkins Inc,Healthcare,5.014188545,2160733.29,18-12-2020,15.03665669,-8.376682141,Engineering,20.1,12.5,-2959.908616,1525,28089532.77,0
COMP_008538,Dixon PLC,Fintech,2.123839503,969338.51,06-10-2023,10.22727006,29.69806726,Sales,6.3,10.1,267.7730691,503,10662723.61,0
COMP_013935,"Peck, Savage and Huang",SaaS,1.947882386,10179259.15,26-06-2021,11.31986521,0.895937818,Engineering,29.3,9,56551.43972,1335,101792591.5,0
COMP_020069,"Richard, Black and Conner",Fintech,1.987156533,174668.47,09-01-2023,9.86485399,12.43045263,Sales,14.2,11.3,114.9134671,773,1746684.7,0
COMP_010963,Kim-Vaughn,Tech,2.021567058,11846484.65,17-03-2020,11.27737755,2.032894054,Marketing,16.2,12.8,35898.43833,1801,142157815.8,0
COMP_023121,"Taylor, Robinson and Lara",Healthcare,2.817648773,353992.97,12-03-2020,2.721841671,35.21088163,Operations,23.6,0.3,95.9330542,1806,1061978.91,0
COMP_023744,Carter-Bean,SaaS,1.909071277,6056822.38,17-12-2020,11.67737622,25.1173629,Marketing,12.2,13.2,2194.500862,1526,78738690.94,1
COMP_006041,Osborne-Cummings,Retail,1.840241163,9247589.42,05-03-2023,10.44748201,31.33541767,Operations,24,6.8,2926.452348,718,92475894.2,0
COMP_008409,Taylor-Mcdonald,Tech,2.042104472,962900.66,08-03-2022,5.893587316,4.93681596,Marketing,20.4,13.3,1689.299404,1080,5777403.96,0
COMP_024515,"Kramer, Pratt and Rivas",Retail,3.431653481,1249764.63,11-04-2021,8.35240739,11.14053363,Sales,22.2,-3.8,1190.252029,1411,9998117.04,0
COMP_000426,Best-Woods,Tech,2.235109093,3076751.39,30-11-2020,7.655162548,21.06910306,Operations,27,1.4,1392.195199,1543,24614011.12,0
COMP_000780,"Mcclain, Johnson and Schwartz",Healthcare,4.966634706,1890593.71,26-05-2024,5.859869232,3.582184277,Marketing,12.7,-0.5,4396.729558,270,11343562.26,0
COMP_013142,"Bryant, Armstrong and Hill",Healthcare,3.32776112,1729411.42,08-01-2022,9.44094127,16.78118711,Sales,27.9,2.5,993.9146092,1139,13835291.36,0
COMP_006184,Frost-Morris,Fintech,3.289139876,4780208.65,29-09-2023,14.08411164,45.56769815,Operations,5.3,13.9,1079.053871,510,66922921.1,1
COMP_020884,"Olson, Ponce and Martin",Healthcare,4.824035996,7487795.88,15-12-2023,5.169524939,18.39459286,Engineering,7.1,-3.7,4378.828,433,44926775.28,0
COMP_022215,Smith PLC,Tech,2.066718146,141787.69,13-07-2021,9.251186891,36.67692453,Marketing,14.2,9.7,34.58236341,1318,1276089.21,0
COMP_023260,Garcia PLC,Tech,1.970663069,7056005.77,27-10-2020,16.75732291,-8.986693048,Marketing,20.9,7.6,-8931.652873,1577,119952098.1,0
COMP_012830,"Jennings, Allison and Garrett",Fintech,0.84865573,4387676.65,18-02-2024,10.27183218,27.62199301,Marketing,18.6,7.4,1755.07066,368,43876766.5,0
COMP_021236,"Wilson, Mccoy and Brown",Retail,5.148807304,2923393.92,08-10-2020,6.858844114,-7.056825006,Engineering,28.1,13.1,-5128.761263,1596,20463757.44,0
COMP_020901,Medina and Sons,Fintech,3.833123386,6593943.97,18-10-2024,6.112907382,1.550624422,Engineering,11.1,1.8,29972.47259,125,39563663.82,0
COMP_004962,"Elliott, Castro and Sparks",Fintech,1.640302027,6801516.57,01-07-2024,11.28278626,14.4451058,Sales,23.9,11.6,4474.681954,234,88419715.41,0
COMP_005707,Thompson-Lowe,Retail,1.732563093,778808.67,29-04-2024,8.305992945,-0.976719727,Operations,26.8,7.9,inf,297,7788086.7,0
COMP_010730,"Carter, Boyer and Ortiz",Tech,2.674858413,5316721.38,16-05-2022,11.36615257,-0.781770632,Sales,19.1,13.7,265836.069,1011,58483935.18,0
COMP_006057,Green Group,Tech,5.83274357,1802437.3,08-06-2020,12.57227522,25.52421288,Sales,12.3,8.3,675.0701498,1718,21629247.6,1
COMP_011436,Acosta-Wells,Retail,7.979951569,4171381.07,22-06-2024,11.51567242,49.13362246,Sales,29.3,12.5,821.1380059,243,45885191.77,1
COMP_020535,Vaughn-Davis,SaaS,4.53952976,1923205.28,05-04-2021,9.49172352,19.03032919,Marketing,5.4,3.2,1006.913759,1417,21155258.08,1
COMP_023503,"Watson, Barker and Montgomery",SaaS,2.361504139,7776496.27,23-02-2021,8.20683862,28.9037972,Sales,6.1,-2.9,2516.66546,1458,77764962.7,0
COMP_000856,"Paul, Banks and Morgan",Fintech,2.911353035,1364583.11,08-08-2023,7.722211157,29.53613871,Marketing,17.8,4.5,470.5459,562,12281247.99,0
COMP_010676,Thomas Group,SaaS,1.093430775,12722257.01,01-05-2021,8.467105599,29.01359695,Operations,9.9,13.9,3988.168342,1391,101778056.1,0
COMP_009225,Oliver-Smith,Tech,5.930245229,4490810.28,31-03-2021,6.899495683,-3.806743414,Operations,10.7,-1.4,-19525.26209,1422,31435671.96,0
COMP_010328,"Sandoval, Martinez and White",Healthcare,2.971101602,7982989.6,11-12-2023,11.29955112,-8.369259467,Sales,12.1,4.3,-10787.82378,437,95795875.2,0
COMP_016610,Clark PLC,SaaS,1.14228307,10518791.69,19-10-2022,6.176141396,45.72046488,Operations,19,12.6,2233.289106,855,73631541.83,0
COMP_023973,Moore Ltd,Fintech,2.709476147,10340062.54,27-02-2022,8.637459522,26.82481226,Operations,28.4,10.8,3801.493581,1089,82720500.32,0
COMP_013457,Green Inc,SaaS,3.053409123,251802.51,20-03-2023,6.642545259,-5.811507825,Engineering,11.9,1.3,-475.0990755,703,1762617.57,0
COMP_010632,Stanton Ltd,Tech,2.104341225,5981016.89,14-09-2020,16.05045608,-2.22143001,Engineering,23.4,-2.7,-39873.44593,1620,95696270.24,0
COMP_021192,"Hudson, Crosby and Martinez",SaaS,3.342697583,3498056.04,14-08-2021,6.438970626,4.860629914,Engineering,20,13.1,5928.908542,1286,31482504.36,0
COMP_003287,Smith LLC,Healthcare,3.614366777,2138101.93,18-07-2024,11.21858411,-5.651755686,Marketing,6.2,2.8,-4751.337622,217,25657223.16,0
COMP_009103,"Hardin, Trevino and Wolfe",Fintech,3.943905856,1178883.91,12-06-2022,13.89984582,43.24171438,Marketing,17.2,4,288.9421348,984,15325490.83,0
COMP_012219,"Kaiser, Miller and Blair",Fintech,4.32830486,2643600.61,07-09-2022,6.367603893,6.226487529,Operations,16.5,4.8,3723.381141,897,21148804.88,0
COMP_009487,Anderson and Sons,Retail,3.890484547,454617.09,07-05-2024,3.976684279,17.78679896,Engineering,8.4,-3.1,251.169663,289,2273085.45,0
COMP_016364,"Berry, Bailey and Munoz",Tech,0.951431843,6751826.73,14-11-2023,11.38878777,2.394998729,Operations,7.2,-0.6,20460.081,464,74270094.03,0
COMP_017507,"Levy, Cruz and Anderson",Retail,1.910360867,8089218.11,30-05-2022,8.717516158,49.34811398,Operations,13.1,11.3,1743.365972,997,72802962.99,0
COMP_011165,Kane-Williams,Healthcare,3.123520054,6194544.52,08-12-2023,10.66573353,21.10438145,Engineering,16.9,13.7,2978.146404,440,74334534.24,1
COMP_020957,"Nolan, Moore and Bartlett",Tech,3.088351934,7167489.95,02-07-2021,5.676549371,-3.937757279,Operations,12.3,8.6,-24715.48259,1329,50172429.65,0
COMP_006880,"Duarte, Vaughn and Cole",Tech,4.568764577,2978478.55,21-03-2024,10.5268763,-9.279901825,Marketing,26.3,-0.1,-3818.562244,336,29784785.5,0
COMP_005457,Dean and Sons,Healthcare,2.115634083,4776041.33,20-06-2022,10.36644424,-8.924749103,Engineering,20.9,3.6,-6542.52237,976,47760413.3,0
COMP_011567,Cole-Payne,Retail,4.076252896,5483958.5,23-10-2024,7.31888322,38.37030653,Engineering,5.7,10,1311.951794,120,38387709.5,0
COMP_007799,Simpson-Wilson,SaaS,1.965964463,1284216.05,22-11-2021,8.059198233,32.14682212,Sales,27.2,-3.5,428.0720167,1186,10273728.4,0
COMP_001494,Smith Inc,SaaS,1.877541829,6965022.12,02-06-2022,8.002975007,35.90981587,Operations,12.3,9.4,2001.443138,994,48755154.84,0
COMP_001135,"Smith, Scott and Wallace",Healthcare,2.484075403,2514366.02,24-03-2022,4.876691933,38.42439954,Marketing,9.8,8.4,646.3665861,1064,12571830.1,0
COMP_011153,"Williamson, Brown and Jacobson",Retail,5.527253697,3753035.63,03-06-2020,2.683480723,21.56335832,Engineering,13.5,7.4,1563.764846,1723,11259106.89,0
COMP_004094,"Nguyen, Phillips and Harris",Fintech,3.467083208,6775194.72,12-04-2024,6.859506584,8.845957112,Engineering,10.1,-3.9,6775.19472,314,47426363.04,0
COMP_021175,Gonzales PLC,Healthcare,1.973870422,1344340.34,23-12-2020,14.95282862,16.16140941,Engineering,13.3,14.4,777.075341,1520,20165105.1,0
COMP_019913,Burke Inc,Healthcare,1.853728913,5092065.95,02-08-2022,18.05766779,40.09596985,Operations,10.4,0.7,1238.945487,933,86565121.15,1
COMP_002123,Duncan-Garner,Healthcare,3.133924645,2397753.74,11-06-2023,13.02143774,10.7889758,Sales,29.8,-3.8,2031.994695,620,31170798.62,0
COMP_014081,Lewis-Rodriguez,Fintech,4.058447066,2605021.26,01-06-2022,11.98751266,28.53818053,Sales,11.2,-1.1,975.6633933,995,31260255.12,1
COMP_021475,"Baldwin, Rice and Hill",Healthcare,1.05068585,8832482.48,19-03-2022,12.09919637,45.86000018,Marketing,12.4,3.8,1984.827524,1069,105989789.8,0
COMP_022861,Thomas-Lawson,Retail,1.877627089,8255192.26,05-01-2022,7.065781025,12.58963468,Sales,23.8,-1.8,5938.987237,1142,57786345.82,0
COMP_010090,Rowland and Sons,Healthcare,5.390776599,4007116.01,18-10-2024,9.941971926,15.70784159,Engineering,29.3,-0.8,2443.363421,125,40071160.1,0
COMP_000640,Bowman Group,SaaS,4.716193105,2593590.55,02-06-2024,6.613577313,47.01706195,Marketing,27.1,-3.2,570.0199011,263,18155133.85,0
COMP_010083,Bradley-Grimes,Fintech,2.850747445,2088157.1,22-06-2021,9.38603088,-5.448510608,Marketing,11.2,1,-3663.433509,1339,18793413.9,0
COMP_013412,"Stout, Ford and Johnson",Healthcare,4.08731648,435369.73,04-11-2022,3.979244424,44.64410605,Engineering,14.1,1.1,115.1771772,839,1741478.92,0
COMP_015832,"Gordon, Gibson and Woods",Fintech,2.837612181,8850573.85,13-04-2022,18.92725716,12.05196901,Sales,23.8,-3.1,7024.26496,1044,141609181.6,0
COMP_022032,Reed-Jacobs,SaaS,3.80448744,2215476.54,01-02-2021,6.384172376,6.792135039,Engineering,23.6,-2.9,3077.05075,1480,15508335.78,0
COMP_019032,"Scott, Bird and Rodriguez",Tech,3.023318396,904355.92,07-02-2021,5.387204483,30.30061771,Engineering,5.4,-0.6,265.9870353,1474,5426135.52,0
COMP_014962,Noble Inc,Fintech,1.074601494,4140746.06,05-11-2020,12.46599997,37.76827056,Marketing,29.7,9.2,1196.747416,1568,49688952.72,0
COMP_012783,"Zavala, Ramos and Lee",Fintech,4.078428724,2787898.65,21-09-2020,10.67035742,3.261568968,Engineering,14.1,1.5,6195.330333,1613,27878986.5,0
COMP_002436,Williams and Sons,Fintech,2.045343725,4854575.55,23-11-2022,19.50209355,2.530914136,Sales,25.7,13.3,14710.835,820,92236935.45,0
COMP_017499,Cole-Franklin,Tech,1.036955094,1665429.58,30-11-2023,12.70649731,23.12119656,Marketing,28.5,1.7,736.9157434,448,21650584.54,0
COMP_007190,King-Leblanc,Healthcare,4.661387355,1343365.9,25-04-2021,9.307663664,-7.542411995,Sales,18,8.1,-1815.359324,1397,13433659,0
COMP_018938,Smith-Underwood,Healthcare,1.799099073,6679020.19,19-11-2020,13.91077633,22.85757537,Marketing,6,12.3,2759.925698,1554,80148242.28,1
COMP_021169,Wheeler LLC,Fintech,2.790701589,1961031.76,14-07-2021,8.888218896,3.271507685,Engineering,19.7,6.9,4085.482833,1317,21571349.36,0
COMP_018872,White PLC,Fintech,4.191268321,5500045.78,15-11-2021,9.637954645,17.16532429,Marketing,10.4,14.5,2619.069419,1193,49500412.02,0
COMP_001282,Dominguez Group,Retail,3.206191473,2826239.46,14-03-2023,11.62809818,40.59656001,Sales,13,13.3,717.3196599,709,31088634.06,1
COMP_019785,Kelly-Gonzalez,Tech,2.431113185,3116950.79,07-08-2022,16.09725552,6.000017584,Marketing,20.9,6,4101.251039,928,46754261.85,0
COMP_007755,"Taylor, Jones and Duke",Retail,5.461323818,4616461.35,19-11-2020,5.975781058,14.94033088,Sales,15.7,-3.7,2637.977914,1554,27698768.1,0
COMP_014379,Oneill-Williams,Healthcare,4.494325468,2605415.49,30-06-2024,6.580774838,12.64324482,Marketing,14.6,3.2,1514.776448,235,15632492.94,0
COMP_007626,"Freeman, Cummings and Martinez",Retail,2.683486234,4191010.19,10-09-2024,6.791983955,17.90705656,Operations,28.9,4.5,2315.475243,163,33528081.52,0
COMP_019694,"Chen, Hartman and Bradley",Healthcare,2.024708575,15460914.18,04-10-2024,9.188576225,16.26730149,Operations,12.3,10.7,10239.01601,139,139148227.6,0
COMP_013971,Tucker-Soto,SaaS,3.488604271,2707391.1,01-04-2021,15.39116119,23.15305874,Operations,23.6,3.1,963.4843772,1421,43318257.6,1
COMP_004384,Robinson-Peterson,Fintech,0.983432344,4072354.63,23-04-2022,9.00425135,4.998266383,Marketing,9.7,2.2,7683.687981,1034,40723546.3,0
COMP_009277,"Mckinney, Webb and Clark",Retail,4.887567962,791238.48,24-06-2023,16.12446362,0.165439762,Marketing,19.2,-1.8,6593.654,607,10286100.24,0
COMP_009204,"Edwards, Fowler and Reyes",Retail,4.801900389,6146934.24,28-11-2021,11.63760796,20.17998793,Engineering,11.8,11.5,2969.533449,1180,67616276.64,0
COMP_003261,"Garcia, Garcia and Nichols",Tech,2.215865017,10468759.84,26-12-2022,16.28665704,34.41545395,Operations,15.3,-1.5,3292.062843,787,167500157.4,1
COMP_023092,Gregory Ltd,SaaS,3.060744188,4300142.98,31-08-2023,9.357319644,8.963876057,Marketing,10.8,5.4,4526.466295,539,38701286.82,0
COMP_002211,Wood PLC,Healthcare,3.092815756,2689271.68,25-06-2024,10.66018835,45.74590982,Marketing,8.4,12.8,574.6307009,240,29581988.48,1
COMP_012373,Diaz Ltd,Tech,2.9195463,7752692.9,16-03-2023,8.150200292,-4.820972953,Engineering,28.5,6.1,-18029.51837,707,62021543.2,0
COMP_018736,Figueroa LLC,Retail,4.657975683,6300196.58,24-12-2022,9.004781508,-7.966299554,Sales,8.9,11.3,-7500.234024,789,56701769.22,0
COMP_007125,Smith Inc,Fintech,0.867019553,1988141.88,13-01-2024,9.497089508,37.68540009,Sales,12.3,9.6,493.3354541,404,19881418.8,0
COMP_013866,White LLC,Tech,3.379279114,1346535.82,29-07-2021,6.463725592,4.712009068,Sales,19.4,11.3,2493.584852,1302,8079214.92,0
COMP_003828,Cole Inc,Retail,3.307941472,918517.92,20-12-2021,3.450721056,-3.942630363,Engineering,12.2,7.4,-3401.918222,1158,3674071.68,0
COMP_019779,"Tucker, Gonzales and Taylor",Tech,0.968440479,2113806.95,29-10-2023,12.48307395,46.3193312,Marketing,27.5,4.6,472.8874609,480,25365683.4,0
COMP_000439,Walters Inc,Tech,4.197290709,3627218.44,13-01-2023,12.96863621,7.815079587,Operations,5.7,11.2,3818.124674,769,54408276.6,0
COMP_010609,"Wall, Smith and Miller",Retail,2.702161267,4998097.72,22-11-2020,10.47019738,11.61812246,Marketing,20.6,-2.5,3183.501732,1551,49980977.2,0
COMP_006579,Ruiz-Wilson,SaaS,1.157929177,6330275.93,15-01-2023,12.14808125,34.92657894,Sales,28.2,4.3,2068.717624,767,75963311.16,0
COMP_016035,"Gould, Turner and Jones",SaaS,2.115725472,3165965.05,11-02-2024,11.45783831,16.13426556,Engineering,26.3,-2.6,1702.131747,375,44323510.7,1
COMP_012355,Frank Group,Healthcare,0.907326646,2523591.69,09-02-2022,8.613195927,5.356067769,Sales,24.3,6.9,4427.353842,1107,22712325.21,0
COMP_002695,Simon Ltd,Retail,2.369889113,4001340.6,20-04-2021,7.522907437,29.63717452,Engineering,20.3,7.3,1234.981667,1402,32010724.8,0
COMP_018462,Bowers-Miller,Healthcare,1.526637138,885474.68,19-04-2024,5.972517958,-3.36571115,Sales,25.2,12.3,-3279.535852,307,5312848.08,0
COMP_009781,Allen-Trujillo,Retail,1.149910221,8911162.99,29-11-2020,12.89382431,20.31939546,Engineering,26.8,3.6,3841.01853,1544,106933955.9,0
COMP_005646,Navarro Inc,Healthcare,3.984543401,5649329.36,03-07-2024,9.442285219,29.48786435,Operations,27,6.9,1765.415425,232,50843964.24,0
COMP_000433,"Taylor, Cunningham and Carpenter",Fintech,5.067438995,283668.98,13-11-2024,8.641396211,9.536102415,Sales,25.6,4.5,255.5576396,99,2553020.82,0
COMP_009251,Flores-Morgan,Retail,3.531601595,3794412.34,07-03-2022,8.750655625,3.909727998,Sales,16.8,9.1,7440.024196,1081,34149711.06,0
COMP_013780,Ibarra and Sons,Retail,1.704239345,8632607.19,05-02-2024,11.0425444,15.7643351,Engineering,14.7,2.1,5169.225862,381,94958679.09,1
COMP_008790,Robinson-Garcia,Fintech,5.146293817,6975839.2,15-06-2024,13.19056184,-1.2532541,Sales,6,5.9,inf,250,90685909.6,0
COMP_007889,Smith and Sons,Retail,2.094319733,2503628.93,06-11-2023,11.38615981,32.23178036,Engineering,9,12.7,648.6085311,472,32547176.09,1
COMP_008030,"Taylor, Reed and Acevedo",Fintech,6.180825598,5520593.59,14-05-2024,12.51136379,35.49879868,Engineering,22.6,-4.6,1604.823718,282,55205935.9,0
COMP_011618,Bailey-Martinez,Retail,2.820401036,1319074.63,04-03-2022,5.395666084,57.10308806,Engineering,14.1,9.8,275.9570356,1084,6595373.15,0
COMP_012841,Camacho-Day,SaaS,1.037104455,10998002.34,14-01-2025,12.06452032,47.63949285,Marketing,25.8,2.2,2182.143321,37,153972032.8,0
